School ID,School Short Name,School Name,Street Address,City,State,ZIP,Phone Number,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year,X Coordinate,Y Coordinate,Latitude,Longitude,Location
609788,Barnard,Alice L Barnard Computer Math & Science Ctr ES,10354 S Charles St,Chicago,IL,60643,(773) 535-2625,http://www.barnard.cps.k12.il.us,Rock Island Elementary Network,Rock Island Elementary Network,Track E,Level 3,Yes,1,Scantron,Average,49.8%,59.1%,31.3%,51.7%,52.9%,53.6%,71.4%,51.7%,52.4%,31.3%,44.8%,35.3%,53.6%,76.2%,48%,Below Average,40.8%,43.5%,21.2%,43.3%,23.5%,50%,40.9%,37.4%,54.5%,30.3%,46.7%,23.5%,53.3%,54.5%,44.2%,51.7%,,,,,52.7%,48%,,,,,47.7%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Strong,100%,84.8%,1.6,1.9,95.6%,92.6%,95%,93.8%,No,No,,1168627.8990675388,1835867.5344166406,-87.65811642,41.70514024,"(-87.65811642, 41.70514024)"
609789,Barry,John Barry Elementary School,2828 N Kilbourn Ave,Chicago,IL,60641,(773) 534-3455,http://barryelementaryschool.blogspot.com/,Fullerton Elementary Network,Fullerton Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,56.2%,50%,52%,45.2%,76.6%,,,53.3%,48.5%,68%,64.3%,57.4%,,,59%,Below Average,39.6%,33%,33.3%,20.7%,33.3%,,,29.7%,34.3%,47.4%,62.1%,62.5%,,,49.5%,,53.1%,,26.7%,51.3%,52.7%,,59.6%,,57.6%,59.7%,58.8%,Well-organized,Neutral,Strong,Strong,Neutral,Strong,Strong,44.7%,94.4%,2.5,1.4,95.1%,93%,96.1%,95.9%,No,No,,1145852.5973482893,1918556.6522258874,-87.73942514,41.93251118,"(-87.73942514, 41.93251118)"
609790,Barton,Clara Barton Elementary School,7650 S Wolcott Ave,Chicago,IL,60620,(773) 535-3260,http://www.bartonschool.org,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 3,Yes,6,Scantron,Below Average,40.7%,39%,17%,46.2%,42.9%,43.6%,48.1%,40.1%,47.3%,25.5%,60.6%,36.5%,31.3%,36.2%,41.3%,Far Below Average,23.4%,21.3%,5.7%,33.3%,10.5%,31%,24.1%,21.6%,22.5%,13.5%,50.7%,14.8%,26%,17.3%,25.2%,40.1%,,,18.9%,,40.6%,41.4%,,,18.8%,,41%,Organized,Neutral,Neutral,Neutral,Neutral,Strong,Weak,90%,58.5%,2.1,1.8,91.7%,92.1%,96.4%,95.9%,No,No,,1164981.8957007944,1853724.2967178018,-87.67096453,41.75421962,"(-87.67096453, 41.75421962)"
609791,Bass,Perkins Bass Elementary School,1140 W 66th St,Chicago,IL,60621,(773) 535-3275,,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 2,Yes,17,Scantron,Average,46.2%,31.8%,41.7%,40.7%,45%,58.3%,42.9%,43.5%,59.1%,37.5%,32%,57.9%,72.7%,39.3%,49.1%,Far Below Average,18.7%,33.3%,13.6%,8.8%,12.2%,20%,23.3%,17.4%,11.1%,18.4%,19.4%,22.5%,33.3%,16.7%,20%,42.9%,,,,,43.8%,48.8%,,,,,49.1%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,96.8%,92.2%,2.6,2.6,92.1%,90.7%,96.4%,95.7%,No,No,,1169677.9327155035,1861068.942765418,-87.65354234,41.77427377,"(-87.65354234, 41.77427377)"
609792,Bateman,Newton Bateman Elementary School,4220 N Richmond St,Chicago,IL,60618,(773) 534-5055,http://www.batemanschool.org,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,63.3%,58.2%,57.8%,52.6%,68.6%,75.3%,62.3%,62.5%,63.2%,69.6%,60.5%,65.1%,61.2%,64.9%,64%,Average,48.5%,35.4%,46.4%,26.3%,50%,62.4%,57.1%,46%,35.7%,54.8%,44.6%,46%,64.7%,64.1%,51.1%,,60.9%,73.2%,37.5%,55.4%,62.4%,,63.5%,62.2%,,63.8%,64.8%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Neutral,,,,,96.2%,95%,96.7%,96.2%,Pending,No,,1155915.8493014053,1928001.2115369109,-87.70218806,41.95823045,"(-87.70218806, 41.95823045)"
609793,Nicholson Tech Acad,Nicholson Technology Academy,6006 S Peoria St,Chicago,IL,60621,(773) 535-3285,http://www.nicholsontech.org,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 1,No,0,Scantron,Average,51.5%,57.1%,58.5%,44.2%,32.4%,63.9%,35.1%,48.9%,47.5%,79.5%,44.2%,52.8%,46.2%,51.4%,54%,Average,46.9%,36.2%,32%,29.8%,13.5%,52.5%,36.8%,33.6%,44.4%,58.3%,69.6%,57.9%,67.4%,64.9%,60.3%,48.7%,,,60%,,48.5%,54%,,,50%,,54.5%,Organized,Weak,Very Strong,Very Strong,Neutral,Neutral,Neutral,93.1%,100%,4.7,3.8,93.4%,92.5%,97%,96.2%,No,No,,1171298.2470504192,1864964.2680277324,-87.64748868,41.7849277,"(-87.64748868, 41.7849277)"
609794,"Edison, T",Thomas A Edison Regional Gifted Center ES,4929 N Sawyer Ave,Chicago,IL,60625,(773) 534-0540,http://www.edisongifted.net/,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,65.8%,46.7%,63.3%,75%,71.9%,70%,74.1%,66.9%,51.9%,50%,61.3%,72.4%,90%,61.5%,64.7%,Far Above Average,96.3%,93.3%,96.7%,93.8%,100%,100%,100%,97.2%,88.9%,93.3%,93.5%,100%,96.7%,100%,95.4%,,62.8%,70.3%,,,,,61.5%,68.9%,,,,Organized,Not Enough Data,Very Strong,Very Strong,Not Enough Data,Not Enough Data,Very Strong,,,,,96.6%,97.2%,96.3%,95.3%,No,No,,1153858.196229593,1932691.890938614,-87.70962725,41.9711433,"(-87.70962725, 41.9711433)"
609795,"Clark, G",George Rogers Clark Elementary School,1045 S Monitor Ave,Chicago,IL,60644,(773) 534-6225,,Austin-North Lawndale Elementary Network,Austin-North Lawndale Elementary Network,Track E,Level 1,No,0,Scantron,Above Average,66.3%,56.7%,33.3%,75%,71%,65.2%,88.9%,66.7%,56.7%,83.3%,87%,53.3%,68.2%,58.3%,66%,Above Average,64.5%,66.7%,36.8%,50%,34.4%,76.9%,75%,57.2%,56.7%,63.2%,91.3%,71%,76.9%,76%,72.1%,62.9%,75.5%,,,,66.4%,64.3%,65.4%,,,,65.2%,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Weak,46%,58.3%,1.8,2.5,93.9%,95%,96.4%,95.6%,No,No,,1137583.9677921557,1894930.8769310713,-87.77038158,41.8678323,"(-87.77038158, 41.8678323)"
609796,Beaubien,Jean Baptiste Beaubien Elementary School,5025 N Laramie Ave,Chicago,IL,60630,(773) 534-3500,http://www.beaubienelementary.org,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,60.8%,47.3%,64.9%,55.7%,57.8%,50.9%,53.7%,55.3%,49.1%,68%,67.8%,80.5%,62.6%,68.9%,66.3%,Above Average,69.5%,67.5%,72.2%,63.6%,73.2%,72.2%,74%,70.5%,64.6%,67.4%,61.9%,74.8%,63.2%,78.7%,68.6%,,53.9%,56.3%,55.7%,61.1%,53.6%,,65.1%,65.4%,51.7%,52.8%,64.1%,Well-organized,Strong,Neutral,Strong,Very Strong,Very Strong,Strong,68.1%,74.5%,1.1,1.4,95.7%,95.4%,96.3%,96.6%,No,No,,1140829.2422131486,1933051.0438778596,-87.75752776,41.97237914,"(-87.75752776, 41.97237914)"
609797,Beidler,Jacob Beidler Elementary School,3151 W Walnut St,Chicago,IL,60612,(773) 534-6811,http://www.beidler.cps.k12.il.us,Garfield-Humboldt Elementary Network,Garfield-Humboldt Elementary Network,Track E,Level 3,Yes,1,Scantron,Above Average,66.6%,54.1%,70.7%,78.9%,54.2%,57.1%,50%,60.4%,64.9%,80.5%,84.2%,75%,81%,52.3%,72.8%,Below Average,39.8%,31.6%,56.1%,47.5%,16.3%,33.3%,25%,34.3%,31.6%,61%,65%,46.9%,50%,18.2%,45.3%,60.7%,,,51.1%,,60.4%,73.4%,,,63.8%,,72.8%,Organized,Neutral,Strong,Strong,Weak,Neutral,Neutral,,82.4%,,2.4,95.4%,94.1%,96.6%,96.4%,No,No,,1155122.861954311,1901415.8318240317,-87.70581859,41.88529401,"(-87.70581859, 41.88529401)"
609798,Belding,Hiram H Belding Elementary School,4257 N Tripp Ave,Chicago,IL,60641,(773) 534-3590,http://www.beldingelementary.com,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 2,No,0,NWEA,Above Average,67.4%,64.3%,63.6%,58.9%,61.4%,67.9%,69.2%,64.3%,68.3%,77.3%,63%,77.1%,78.3%,64.4%,70.9%,Average,52.1%,66.7%,46%,45.9%,52%,61.9%,66.7%,56.4%,47.8%,62.7%,41%,48%,39.7%,50%,47.7%,,64.5%,64%,53.3%,64.7%,61.5%,,75.9%,63.4%,,66.7%,68.6%,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Strong,47%,63.8%,2,1.8,95%,94.5%,96.2%,95.9%,Pending,No,,1147266.3659194955,1928184.9275258186,-87.73398223,41.95890499,"(-87.73398223, 41.95890499)"
609799,Bell,Alexander Graham Bell Elementary School,3730 N Oakley Ave,Chicago,IL,60618,(773) 534-5150,http://www.agbellschool.com,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,61.9%,51.9%,58.9%,63.1%,68.9%,73%,66%,63.2%,68.8%,46.7%,63.9%,60.2%,71.4%,52.7%,60.5%,Far Above Average,83.5%,83.8%,73.8%,82.3%,84.8%,97.8%,77.9%,83.1%,84.8%,75.9%,83.6%,80.6%,97.7%,82.8%,83.8%,,61.2%,63.7%,44.9%,,52.3%,,66.7%,58%,52.1%,,54.5%,Well-organized,Very Strong,Strong,Neutral,Neutral,Strong,Very Strong,23.3%,49.3%,1.3,1.2,96.3%,96.2%,95.9%,96.1%,No,No,,1160327.8809461526,1924862.7222027036,-87.68605496,41.94952795,"(-87.68605496, 41.94952795)"
609800,Bennett,Frank I Bennett Elementary School,10115 S Prairie Ave,Chicago,IL,60628,(773) 535-5460,,Rock Island Elementary Network,Rock Island Elementary Network,Standard,Level 3,Yes,4,Scantron,Above Average,59.7%,41.2%,46.8%,73.9%,48.1%,55.6%,63.8%,54.5%,57.1%,44.7%,82.2%,80.8%,40%,78.3%,65%,Below Average,38.2%,20%,22.6%,46%,29.8%,38.1%,34.6%,31.4%,23.2%,32.1%,63.3%,57.1%,40.5%,55.8%,45.1%,54.5%,,,43.6%,,53.8%,65.1%,,,50%,,64.4%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,71.1%,,2,,92.5%,93.1%,95.9%,95.7%,No,No,,1179742.9161040687,1837880.0762631085,-87.61735342,41.71041656,"(-87.61735342, 41.71041656)"
609803,Blaine,James G Blaine Elementary School,1420 W Grace St,Chicago,IL,60613,(773) 534-5750,http://www.blaine.cps.k12.il.us,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,57.2%,60.3%,53.1%,64.8%,55.1%,66%,73.9%,60.7%,52.2%,62.4%,47.2%,60%,51.7%,40.9%,53.8%,Far Above Average,80.7%,83.8%,78.6%,74.7%,77.5%,80.3%,83%,79.3%,77.1%,85.4%,80%,84.7%,82.8%,79.5%,82%,,61.2%,61.5%,64.5%,,56.5%,,53.1%,55.6%,36.4%,,46%,Organized,Strong,Strong,Strong,Weak,Neutral,Very Strong,38.1%,56.5%,3.4,2.2,96.4%,96.4%,96%,96.5%,No,No,,1166063.1670809146,1925373.2677171023,-87.66495825,41.95080812,"(-87.66495825, 41.95080812)"
609804,Boone,Daniel Boone Elementary School,6710 N Washtenaw Ave,Chicago,IL,60645,(773) 534-2160,http://www.boone.cps.k12.il.us,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 2,No,0,Scantron,Average,45.6%,53.7%,42.9%,46.8%,33.3%,54.7%,48.9%,47.1%,75.9%,31%,37.8%,20.4%,53.7%,34.7%,44.1%,Below Average,41.3%,46.5%,30.3%,37.8%,32.7%,43.9%,49.1%,39.9%,60%,27.3%,43.8%,20.8%,46.6%,53.7%,42.8%,38.9%,43.9%,53.2%,34.3%,44.1%,46.6%,32.7%,41.7%,45%,31.4%,57.3%,43.4%,Well-organized,Strong,Neutral,Strong,Very Strong,Very Strong,Neutral,64.4%,64.4%,2.2,1.2,95.5%,95.5%,95.4%,95.6%,Pending,No,,1157068.656854908,1944483.4722386838,-87.69750011,42.00343519,"(-87.69750011, 42.00343519)"
609805,Joplin,Scott Joplin Elementary School,7931 S Honore St,Chicago,IL,60620,(773) 535-3425,http://www.scottjoplinschool.org,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 3,Yes,4,Scantron,Average,54.6%,54.5%,30.4%,62.5%,42.3%,53.5%,49.1%,48.6%,41.3%,74.5%,70.8%,60.4%,50%,65.3%,60.7%,Below Average,37.9%,26.9%,23.5%,36%,34.5%,53.1%,33.3%,34.4%,21.2%,45.1%,56%,36.8%,42.9%,47.4%,41.5%,48.8%,,,40.4%,,48.6%,60.6%,,,57.8%,,60.9%,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Weak,77.9%,81%,2.1,1.8,95%,94.3%,94.6%,94.7%,No,No,,1165441.8754038063,1851949.9476289544,-87.66932903,41.74934082,"(-87.66932903, 41.74934082)"
609806,Bradwell,Myra Bradwell Communications Arts & Sciences ES,7736 S Burnham Ave,Chicago,IL,60649,(773) 535-6600,http://www.bradwell.cps.k12.il.us,AUSL Schools,Skyway Elementary Network,Standard,Level 2,Yes,6,NWEA,Above Average,65.9%,75.8%,56.9%,83.7%,67.3%,82%,57.1%,70.1%,72.1%,27.5%,77.6%,64.3%,54.5%,71%,61.7%,Far Below Average,23.1%,19.4%,19.5%,41%,23.3%,40.3%,35.1%,28.9%,14.9%,6.9%,34.4%,11.8%,19.4%,20.3%,17.4%,70%,,,53.2%,,69.8%,61.6%,,,47.5%,,61.6%,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Weak,79.6%,78.8%,2.2,2.2,92.1%,93.6%,96.4%,95.2%,Yes,No,,1196028.8107573453,1854039.8982411239,-87.55717881,41.7543734,"(-87.55717881, 41.7543734)"
609807,Hampton,Lionel Hampton Fine & Performing Arts ES,3434 W 77th St,Chicago,IL,60652,(773) 535-4030,,Midway Elementary Network,Midway Elementary Network,Track E,Level 2,No,0,Scantron,Average,48.2%,50.8%,49.3%,47.6%,52%,52.2%,50.8%,50.5%,53%,54.2%,44.4%,34.7%,57.4%,32.3%,46%,Below Average,35.6%,32.9%,22.7%,32.3%,31.6%,36%,33.3%,31.4%,21.7%,41.9%,33.8%,44.7%,56.8%,37.9%,39.9%,49.6%,51.3%,,47.1%,,50.5%,42.3%,51.9%,,44.2%,,46%,Moderately Organized,Neutral,Weak,Neutral,Strong,Neutral,Weak,18.6%,21.3%,2,1.7,95%,94.5%,96.6%,96.5%,No,No,,1154672.983066268,1853379.2427217166,-87.70875287,41.75348432,"(-87.70875287, 41.75348432)"
